Species	Vernacular name	Number	Time	Municipality	Biogeographical Province	Country	WGS84 N	WGS84 E	The stated certainty of the observation	Observation Reliability	Collection
karvarousku (fi) — Lactarius torminosus	karvarousku (fi)		2026-08-27	Lapinlahti	Pohjois-Savo (PS)	Suomi	63.3	27.5		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
karvarousku (fi) — Lactarius torminosus	karvarousku (fi)		2026-08-27	Lapinlahti	Pohjois-Savo (PS)	Suomi	63.3	27.5		NEUTRAL	iNaturalist Suomi Finland
karvarousku (fi) — Lactarius torminosus	karvarousku (fi)		2026-08-27	Kangasala	Etelä-Häme (EH)	Suomi	61.45472	24.11151		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
karvarousku (fi) — Lactarius torminosus	karvarousku (fi)		2026-08-26	Jyväskylä	Pohjois-Häme (PH)	Suomi	62.18356	25.73718		NEUTRAL	iNaturalist Suomi Finland
karvarousku (fi) — Lactarius torminosus	karvarousku (fi)		2026-08-26	Oulu	Oulun Pohjanmaa (OP)	Suomi	65.1	25.5		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
karvarousku (fi) — Lactarius torminosus	karvarousku (fi)		2026-08-26	Merikarvia	Satakunta (St)	Suomi	61.9001	21.47035		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
karvarousku (fi) — Lactarius torminosus	karvarousku (fi)		2026-08-25	Tampere	Etelä-Häme (EH)	Suomi	61.495161	23.733488	Sure	NEUTRAL	The Atlas of Finnish Fungi
karvarousku (fi) — Lactarius torminosus	karvarousku (fi)		2026-08-25	Ylivieska	Keski-Pohjanmaa (KP)	Suomi	64.06623	24.50072		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
karvarousku (fi) — Lactarius torminosus	karvarousku (fi)		2026-08-25	Jyväskylä	Pohjois-Häme (PH)	Suomi	62.25442	25.69349		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
karvarousku (fi) — Lactarius torminosus	karvarousku (fi)		2026-08-25	Ylivieska	Keski-Pohjanmaa (KP)	Suomi	64.06681	24.50059		NEUTRAL	iNaturalist Suomi Finland
karvarousku (fi) — Lactarius torminosus	karvarousku (fi)		2026-08-25	Ylivieska	Keski-Pohjanmaa (KP)	Suomi	64.06664	24.49992		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
karvarousku (fi) — Lactarius torminosus	karvarousku (fi)		2026-08-25	Iisalmi	Pohjois-Savo (PS)	Suomi	63.58854	27.05387		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
karvarousku (fi) — Lactarius torminosus	karvarousku (fi)		2026-08-24	Hirvensalmi	Etelä-Savo (ES)	Suomi	61.79347	26.63163		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
karvarousku (fi) — Lactarius torminosus	karvarousku (fi)		2026-08-24	Oulu	Oulun Pohjanmaa (OP)	Suomi	65.06351	25.51553		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
karvarousku (fi) — Lactarius torminosus	karvarousku (fi)		2026-08-24	Jyväskylä	Etelä-Häme (EH)	Suomi	62.11821	25.77987		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
karvarousku (fi) — Lactarius torminosus	karvarousku (fi)		2026-08-24	Viitasaari	Pohjois-Häme (PH)	Suomi	62.9634	26.20659		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
karvarousku (fi) — Lactarius torminosus	karvarousku (fi)		2026-08-23	Närpiö	Etelä-Pohjanmaa (EP)	Suomi	62.53112	21.11282		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
karvarousku (fi) — Lactarius torminosus	karvarousku (fi)		2026-08-23	Rovaniemi	Perä-Pohjanmaa (PeP)	Suomi	66.52307	25.6706		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
karvarousku (fi) — Lactarius torminosus	karvarousku (fi)		2026-08-23	Rovaniemi	Perä-Pohjanmaa (PeP)	Suomi	66.50114	25.75109		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
karvarousku (fi) — Lactarius torminosus	karvarousku (fi)		2026-08-22	Liminka	Oulun Pohjanmaa (OP)	Suomi	64.77193	25.40069		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
karvarousku (fi) — Lactarius torminosus	karvarousku (fi)		2026-08-22	Pyhäjärvi	Keski-Pohjanmaa (KP)	Suomi	63.64335	25.97669		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
karvarousku (fi) — Lactarius torminosus	karvarousku (fi)		2026-08-22	Hämeenkyrö, Kangasala, Lempäälä, Nokia, Pirkkala, Tampere, Vesilahti, Ylöjärvi	Etelä-Häme (EH), Satakunta (St)	Suomi	61.44387	23.63312		NEUTRAL	iNaturalist Suomi Finland
karvarousku (fi) — Lactarius torminosus	karvarousku (fi)		2026-08-21	Muurame	Etelä-Häme (EH)	Suomi	62.17987	25.75341		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
karvarousku (fi) — Lactarius torminosus	karvarousku (fi)	2	2026-08-21	Oulu	Oulun Pohjanmaa (OP)	Suomi	65.1556	25.3983	Sure	NEUTRAL	The Atlas of Finnish Fungi
karvarousku (fi) — Lactarius torminosus	karvarousku (fi)		2026-08-20	Liminka, Lumijoki, Siikajoki	Keski-Pohjanmaa (KP), Oulun Pohjanmaa (OP)	Suomi	64.7	25.1		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
karvarousku (fi) — Lactarius torminosus	karvarousku (fi)		2026-08-20	Oulu	Oulun Pohjanmaa (OP)	Suomi	65.02057	25.48048		NEUTRAL	iNaturalist Suomi Finland
karvarousku (fi) — Lactarius torminosus	karvarousku (fi)		2026-08-19	Kuusamo	Koillismaa (Ks)	Suomi	66.1	29.5		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
karvarousku (fi) — Lactarius torminosus	karvarousku (fi)		2026-08-18	Kittilä	Kittilän Lappi (KiL)	Suomi	67.7	25.3		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
karvarousku (fi) — Lactarius torminosus	karvarousku (fi)		2026-08-18	Viitasaari	Pohjois-Häme (PH)	Suomi	63.09147	25.83781		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
karvarousku (fi) — Lactarius torminosus	karvarousku (fi)		2026-08-17	Toholampi	Keski-Pohjanmaa (KP)	Suomi	63.62059	24.40512		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
karvarousku (fi) — Lactarius torminosus	karvarousku (fi)		2026-08-17	Turku	Varsinais-Suomi (V)	Suomi	60.42353	22.26858		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
karvarousku (fi) — Lactarius torminosus	karvarousku (fi)		2026-08-17	Kouvola	Etelä-Savo (ES)	Suomi	60.87408	26.74459		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
